100, 1, 894845
200, 1, 6777234
400, 1, 54439784
800, 1, 416781123
1600, 1, 3529151730
3200, 1, 40992435572
6400, 1, 331041223652
100, 2, 874083
200, 2, 12716107
400, 2, 54215084
800, 2, 419233986
1600, 2, 5366669992
3200, 2, 43233009355
6400, 2, 346460396617
100, 4, 887726
200, 4, 12745789
400, 4, 79349672
800, 4, 622887298
1600, 4, 6750088440
3200, 4, 52699099469
6400, 4, 392379735146
100, 8, 1548139
200, 8, 12746791
400, 8, 102668960
800, 8, 1459992144
1600, 8, 12363214369
3200, 8, 94545786479
6400, 8, 870021353814
